state,district,total_population,working_age_population,literacy_rate,urbanization_rate,ev_manufacturers_count,manufacturer_presence,market_maturity_score,tier_classification,geographic_priority
ANDAMAN AND NICOBAR ISLANDS,South Andaman,238142,204734,79.89602842001831,59.19538886030959,0,[],47.64696407012933,Tier-3,Medium
ANDHRA PRADESH,Hyderabad,3943323,3317373,73.34309160066269,100.0,3,"['Etrio Automobiles', 'Olectra Greentech', 'Gayam Motor Works']",63.802927480198804,Tier-2,Medium
ANDHRA PRADESH,Rangareddy,5296741,4422852,66.79631871749062,72.32486316083421,0,[],48.96884087958087,Tier-1,Medium
ARUNACHAL PRADESH,Papum Pare,176573,164404,68.55408244748631,59.77658057360165,0,[],44.47685696368656,Rural,Medium
ASSAM,Kamrup Metropolitan,1253938,1060953,79.84374028061994,85.67605186458411,0,[],58.223542830019625,Tier-2,Medium
CHANDIGARH,Chandigarh,1055450,906159,76.31228385996495,97.01340965991547,0,[],61.69904902195567,Tier-2,Medium
DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,343709,312991,64.94738281511395,55.672301738323085,0,[],41.75313553986342,Tier-3,Medium
DAMAN AND DIU,Diu,52074,44407,73.08445673464685,48.07427055702917,0,[],41.15504524320572,Rural,Medium
DAMAN AND DIU,Daman,191173,175457,78.64499693994445,85.9227057218025,0,[],57.96258137070434,Rural,Medium
GOA,North Goa,818008,641459,81.05788696443066,64.36083657090828,0,[],50.06170071769251,Tier-3,Medium
GOA,South Goa,640537,509352,78.43840402662141,64.76243871598813,0,[],49.436496694381674,Tier-3,Medium
GUJARAT,Gandhinagar,1391753,1161191,74.04287973512541,45.15415756893121,0,[],40.27452694811011,Tier-2,Medium
GUJARAT,Ahmadabad,7214225,5996753,75.34780243200066,83.93629079503236,1,['Electrotherm India'],56.77885704761315,Tier-1,Medium
GUJARAT,Rajkot,3804558,3133439,71.62608639426709,61.09469384575523,1,['Atul Auto'],46.52570345658222,Tier-2,Medium
GUJARAT,Vadodara,4165626,3403515,69.45126614823319,55.86561057701998,0,[],43.18162407527795,Tier-2,Medium
GUJARAT,Surat,6081322,5304189,75.17131965714033,80.53307703077841,0,[],54.764626709453466,Tier-1,Medium
HARYANA,Panchkula,561293,466154,72.2114831291322,56.91609288305754,0,[],44.42988209196268,Tier-3,Medium
HARYANA,Gurgaon,1514432,1303632,73.3684972319655,72.94148648726062,1,['Revolt Motors'],51.7871437644939,Tier-2,Medium
HARYANA,Faridabad,1809733,1576920,70.32744609287668,81.36742294675162,2,"['JBM Auto', 'Omega Seiki Mobility']",54.84520300656366,Tier-2,Medium
JAMMU AND KASHMIR,Srinagar,1236829,1044799,60.52445406761969,98.2771441318797,0,[],57.468193873037784,Tier-2,Medium
JAMMU AND KASHMIR,Jammu,1529958,1252722,74.32458930245144,49.3510860330794,0,[],42.037811203967195,Tier-2,Medium
JHARKHAND,Dhanbad,2684487,2283711,64.15393332133849,61.04236705062638,0,[],43.663126816652095,Tier-2,Medium
JHARKHAND,Purbi Singhbhum,2293919,1924909,65.72590400968822,56.581269235921496,0,[],42.35027889727506,Tier-2,Medium
KARNATAKA,Dharwad,1847023,1523623,70.47362160622797,58.66169603232431,0,[],44.60676489479812,Tier-2,Medium
KARNATAKA,Bangalore,9621551,8185241,78.07759892349996,90.8023354019021,0,[],59.74421383781083,Tier-1,Medium
KARNATAKA,Dakshina Kannada,2089649,1680867,79.74176524382803,48.80469081581813,0,[],43.444405899475655,Tier-2,Medium
