state,district,total_population,age_0_29_percent,age_30_49_percent,age_50_plus_percent,literacy_rate,avg_household_size,urban_rural,monthly_income_bracket,asset_ownership_score,ev_adoption_propensity
Andhra Pradesh,Adilabad,2741239,56.05,25.7,15.41,59.0,4.27,Rural,100-200k,3.01,0.37
Andhra Pradesh,Adilabad,2741239,56.05,25.7,15.41,59.0,4.36,Urban,100-200k,3.48,0.38
Andhra Pradesh,Anantapur,4081148,53.65,27.07,18.12,62.8,4.28,Rural,100-200k,3.03,0.39
Andhra Pradesh,Anantapur,4081148,53.65,27.07,18.12,62.8,4.35,Urban,50-100k,3.28,0.4
Andhra Pradesh,Chittoor,4174064,51.46,27.77,19.34,69.5,4.08,Rural,200k+,4.29,0.45
Andhra Pradesh,Chittoor,4174064,51.46,27.77,19.34,69.5,4.09,Urban,100-200k,4.33,0.45
Andhra Pradesh,East Godavari,5154296,52.86,28.69,18.39,68.32,3.65,Rural,200k+,4.16,0.44
Andhra Pradesh,East Godavari,5154296,52.86,28.69,18.39,68.32,3.75,Urban,100-200k,4.55,0.46
Andhra Pradesh,Guntur,4887813,52.86,28.07,19.0,66.75,3.76,Rural,100-200k,3.67,0.42
Andhra Pradesh,Guntur,4887813,52.86,28.07,19.0,66.75,3.94,Urban,50-100k,3.78,0.43
Andhra Pradesh,Hyderabad,3943323,57.04,27.09,13.76,83.85,4.63,Urban,100-200k,4.97,0.51
Andhra Pradesh,Karimnagar,3776269,51.38,27.32,19.29,63.28,3.9,Rural,100-200k,3.52,0.4
Andhra Pradesh,Karimnagar,3776269,51.38,27.32,19.29,63.28,4.16,Urban,100-200k,4.0,0.42
Andhra Pradesh,Khammam,2797370,54.72,27.69,17.09,65.07,3.76,Rural,100-200k,3.75,0.42
Andhra Pradesh,Khammam,2797370,54.72,27.69,17.09,65.07,3.9,Urban,100-200k,4.01,0.43
Andhra Pradesh,Krishna,4517398,51.82,28.44,18.46,69.0,3.59,Rural,100-200k,3.96,0.44
Andhra Pradesh,Krishna,4517398,51.82,28.44,18.46,69.0,3.76,Urban,100-200k,4.06,0.44
Andhra Pradesh,Kurnool,4053463,58.44,25.99,15.02,58.36,4.57,Rural,100-200k,3.15,0.37
Andhra Pradesh,Kurnool,4053463,58.44,25.99,15.02,58.36,4.63,Urban,50-100k,3.51,0.38
Andhra Pradesh,Mahbubnagar,4053028,58.25,25.35,15.73,54.74,4.67,Rural,100-200k,3.22,0.36
Andhra Pradesh,Mahbubnagar,4053028,58.25,25.35,15.73,54.74,4.73,Urban,100-200k,3.45,0.37
Andhra Pradesh,Medak,3033288,57.22,25.71,16.79,57.71,4.62,Rural,100-200k,3.19,0.37
Andhra Pradesh,Medak,3033288,57.22,25.71,16.79,57.71,4.47,Urban,100-200k,3.68,0.39
Andhra Pradesh,Nalgonda,3488809,55.39,25.71,18.68,60.71,4.05,Rural,100-200k,3.61,0.39
Andhra Pradesh,Nalgonda,3488809,55.39,25.71,18.68,60.71,4.1,Urban,100-200k,3.64,0.39
Andhra Pradesh,Nizamabad,2551335,54.86,26.51,17.15,57.15,4.28,Rural,100-200k,3.44,0.38
Andhra Pradesh,Nizamabad,2551335,54.86,26.51,17.15,57.15,4.65,Urban,100-200k,3.67,0.39
Andhra Pradesh,Prakasam,3397448,53.94,27.0,18.89,60.99,4.01,Rural,100-200k,3.58,0.4
Andhra Pradesh,Prakasam,3397448,53.94,27.0,18.89,60.99,3.95,Urban,100-200k,3.56,0.4
Andhra Pradesh,Rangareddy,5296741,56.02,27.49,13.93,75.33,4.55,Rural,200k+,4.17,0.46
Andhra Pradesh,Rangareddy,5296741,56.02,27.49,13.93,75.33,4.22,Urban,100-200k,4.64,0.48
Andhra Pradesh,Sri Potti Sriramulu Nellore,2963557,53.14,28.36,18.36,66.07,3.75,Rural,200k+,4.24,0.44
Andhra Pradesh,Sri Potti Sriramulu Nellore,2963557,53.14,28.36,18.36,66.07,3.94,Urban,100-200k,4.29,0.44
Andhra Pradesh,Srikakulam,2703114,52.65,27.65,19.56,59.69,4.01,Rural,200k+,3.82,0.4
Andhra Pradesh,Srikakulam,2703114,52.65,27.65,19.56,59.69,4.02,Urban,100-200k,4.01,0.41
Andhra Pradesh,Visakhapatnam,4290589,53.01,29.03,16.69,64.41,3.98,Rural,200k+,4.25,0.44
Andhra Pradesh,Visakhapatnam,4290589,53.01,29.03,16.69,64.41,3.97,Urban,100-200k,4.65,0.45
Andhra Pradesh,Vizianagaram,2344474,51.46,28.42,19.26,54.55,4.08,Rural,200k+,3.91,0.39
Andhra Pradesh,Vizianagaram,2344474,51.46,28.42,19.26,54.55,4.0,Urban,100-200k,4.17,0.4
