category,maker,year,registrations
3W,"""VOLVO GROUP INDIA PVT LTD""",2015,0
3W,3EV INDUSTRIES PVT LTD,2015,0
2W,3GB TECHNOLOGY PVT LTD,2015,0
3W,3GB TECHNOLOGY PVT LTD,2015,0
3W,3S INDUSTRIES PRIVATE LIMITED,2015,0
LMV,3S INDUSTRIES PRIVATE LIMITED,2015,0
3W,A B EXCAVATORS & EARTHMOVER LTD,2015,0
3W,A D AGRO WORKS,2015,0
3W,A K AUTTO ELECTRICAL,2015,0
3W,A K GUPTA & CO.,2015,0
3W,A P I MOTORS PVT LTD,2015,0
LMV,A R T WELDING WORKS,2015,0
3W,A. K. AUTTO ELECTRICAL,2015,0
3W,A.J ENTERPRISES,2015,0
3W,A.K.AUTO ELECTRICAL,2015,0
3W,A.R. MOTOR,2015,0
3W,A.V.AUTOMOTIVES PVT LTD,2015,0
2W,A-1 SUREJA INDUSTRIES,2015,0
3W,A3T INCORPORTED,2015,0
LMV,A3T INCORPORTED,2015,0
3W,AADHYA ENTERPRISES,2015,0
LMV,AADHYA ENTERPRISES,2015,0
3W,AADITYA EMOTORS INDIA PVT LTD,2015,0
LMV,AADITYA EMOTORS INDIA PVT LTD,2015,0
3W,AADITYA GARBAGE PRODUCTS PVT LTD,2015,0
LMV,AADITYA GARBAGE PRODUCTS PVT LTD,2015,0
3W,AAHANA COMMERCE PVT LTD,2015,0
3W,AAKK AUTO PVT LTD,2015,0
3W,AARGEE ELECTRIC,2015,0
3W,AASHI INDIA AUTOMOBILES PVT LTD,2015,0
3W,ABHAVIS TECHNOLOGY (I) PVT LTD,2015,0
LMV,ABIRAMI ENGINEERING WORKS,2015,0
2W,ABZO MOTORS PVT LTD,2015,0
3W,ACCRETION POWER AUTOS,2015,0
2W,ACTION CONSTRUCTION EQUIPMENT LTD.,2015,0
3W,ACTION CONSTRUCTION EQUIPMENT LTD.,2015,0
LMV,ACTION CONSTRUCTION EQUIPMENT LTD.,2015,6
3W,ADAPT MOTORS PVT LTD,2015,0
LMV,ADAPT MOTORS PVT LTD,2015,0
3W,ADIDEV TECHNOA PVT LTD,2015,0
3W,ADITYA AGRO INDUSTRIES,2015,0
3W,ADITYA ENTERPRISES,2015,0
3W,ADITYA SAI INDUSTRIES,2015,0
LMV,ADITYA SAI INDUSTRIES,2015,0
3W,ADM TECHNOLOGIES PVT. LTD.,2015,0
2W,ADRIS ELECTRIC PVT LTD,2015,0
2W,AFTEK MOTORS INDIA PVT LTD,2015,0
3W,AGRASEN ENGINEERING WORKS,2015,0
3W,AGRAWAL RENEWABLE ENERGY PVT LTD,2015,0
3W,AGRO INDUSTRIES,2015,0
LMV,AHITESHAM AGRO ENGINEERING,2015,0
2W,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2015,0
3W,AJAY MOTORS PRIVATE LIMITED,2015,0
3W,AKASH AGRO INDUSTRIES,2015,0
LMV,AKASH TRAILOR,2015,0
3W,AKG INTERNATIONAL,2015,0
3W,AKSMD RECHARGEABLE VEHICLES PVT LTD,2015,0
